date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:21:26	1156/1156	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2261c8a6ba-484%22	https://bootstrap-ecommerce.com/bootstrap5-ecommerce/images/icons/category-svg-blue/cpu.svg	C:/Users/Nguyen%20Van%20Quan/OneDrive%20-%20ptit.edu.vn/Documents/Ecomerce%20Components/bootstrap-ecommerce.com/bootstrap5-ecommerce/images/icons/category-svg-blue/cpu.svg	(from https://bootstrap-ecommerce.com/components.html)
10:21:26	1230/1230	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2261c8a6ba-4ce%22	https://bootstrap-ecommerce.com/bootstrap5-ecommerce/images/icons/category-svg-blue/desktop_windows.svg	C:/Users/Nguyen%20Van%20Quan/OneDrive%20-%20ptit.edu.vn/Documents/Ecomerce%20Components/bootstrap-ecommerce.com/bootstrap5-ecommerce/images/icons/category-svg-blue/desktop_windows.svg	(from https://bootstrap-ecommerce.com/components.html)
10:21:27	2904/2904	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2261c8a6ba-b58%22	https://bootstrap-ecommerce.com/bootstrap5-ecommerce/images/icons/category-svg-blue/diamond.svg	C:/Users/Nguyen%20Van%20Quan/OneDrive%20-%20ptit.edu.vn/Documents/Ecomerce%20Components/bootstrap-ecommerce.com/bootstrap5-ecommerce/images/icons/category-svg-blue/diamond.svg	(from https://bootstrap-ecommerce.com/components.html)
10:21:27	2229/2229	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2261c8a6ba-8b5%22	https://bootstrap-ecommerce.com/bootstrap5-ecommerce/images/icons/category-svg-blue/education.svg	C:/Users/Nguyen%20Van%20Quan/OneDrive%20-%20ptit.edu.vn/Documents/Ecomerce%20Components/bootstrap-ecommerce.com/bootstrap5-ecommerce/images/icons/category-svg-blue/education.svg	(from https://bootstrap-ecommerce.com/components.html)
10:21:27	3508/3508	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2261c8a6ba-db4%22	https://bootstrap-ecommerce.com/bootstrap5-ecommerce/images/icons/category-svg-blue/fix.svg	C:/Users/Nguyen%20Van%20Quan/OneDrive%20-%20ptit.edu.vn/Documents/Ecomerce%20Components/bootstrap-ecommerce.com/bootstrap5-ecommerce/images/icons/category-svg-blue/fix.svg	(from https://bootstrap-ecommerce.com/components.html)
10:21:28	2199/2199	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2261c8a6ba-897%22	https://bootstrap-ecommerce.com/bootstrap5-ecommerce/images/icons/category-svg-blue/homeitem.svg	C:/Users/Nguyen%20Van%20Quan/OneDrive%20-%20ptit.edu.vn/Documents/Ecomerce%20Components/bootstrap-ecommerce.com/bootstrap5-ecommerce/images/icons/category-svg-blue/homeitem.svg	(from https://bootstrap-ecommerce.com/components.html)
10:21:28	3762/3762	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2261c8a6ba-eb2%22	https://bootstrap-ecommerce.com/bootstrap5-ecommerce/images/icons/category-svg-blue/med-tooth.svg	C:/Users/Nguyen%20Van%20Quan/OneDrive%20-%20ptit.edu.vn/Documents/Ecomerce%20Components/bootstrap-ecommerce.com/bootstrap5-ecommerce/images/icons/category-svg-blue/med-tooth.svg	(from https://bootstrap-ecommerce.com/components.html)
10:21:28	2437/2437	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2261c8a6ba-985%22	https://bootstrap-ecommerce.com/bootstrap5-ecommerce/images/icons/category-svg-blue/med.svg	C:/Users/Nguyen%20Van%20Quan/OneDrive%20-%20ptit.edu.vn/Documents/Ecomerce%20Components/bootstrap-ecommerce.com/bootstrap5-ecommerce/images/icons/category-svg-blue/med.svg	(from https://bootstrap-ecommerce.com/components.html)
10:21:29	5802/5802	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2261c8a6ba-16aa%22	https://bootstrap-ecommerce.com/bootstrap5-ecommerce/images/icons/category-svg-blue/motorbike.svg	C:/Users/Nguyen%20Van%20Quan/OneDrive%20-%20ptit.edu.vn/Documents/Ecomerce%20Components/bootstrap-ecommerce.com/bootstrap5-ecommerce/images/icons/category-svg-blue/motorbike.svg	(from https://bootstrap-ecommerce.com/components.html)
10:21:29	3861/3861	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2261c8a6ba-f15%22	https://bootstrap-ecommerce.com/bootstrap5-ecommerce/images/icons/category-svg-blue/painting.svg	C:/Users/Nguyen%20Van%20Quan/OneDrive%20-%20ptit.edu.vn/Documents/Ecomerce%20Components/bootstrap-ecommerce.com/bootstrap5-ecommerce/images/icons/category-svg-blue/painting.svg	(from https://bootstrap-ecommerce.com/components.html)
